state,zip_code,name,latitude,longitude,category
Pittsburgh,15216,Sushi Three,40.388562,-80.049448,Japanese
Pittsburgh,15216,Potomac Bakery,40.3954709,-80.0347424,
Pittsburgh,15216,Scoops On Beverly,40.3885545,-80.0500275,
Pittsburgh,15216,Banksville Beer Inc,40.401054,-80.0433063,
Pittsburgh,15216,Eat'n Park Restaurant,40.395871,-80.033585,American
Pittsburgh,15216,Dairy Queen,40.3958828,-80.0466445,
Pittsburgh,15216,The Dor-Stop Restaurant,40.3959206,-80.0348023,
Pittsburgh,15216,Arby's,40.414716,-80.03063,
Pittsburgh,15216,Market On Broadway IGA,40.409944,-80.024985,
Pittsburgh,15218,McBroom Distributor,40.431523,-79.893463,
Pittsburgh,15218,D's Six Pax & Dogz,40.432022,-79.893834,
Pittsburgh,15218,Taco Bell,40.427135,-79.890649,Mexican
Pittsburgh,15218,Katerbean,40.4323539,-79.89407,
Pittsburgh,15218,Giant Eagle,40.42304,-79.8873652,
Pittsburgh,15218,Wendy's,40.4254343,-79.8886201,
Pittsburgh,15218,Applebee's,40.4273028,-79.8886844,American
Pittsburgh,15220,Benihana,40.392287,-80.070269,Japanese
Pittsburgh,15220,Crouse Wayne Beer Distributor,40.3915059,-80.0594902,
Pittsburgh,15220,Giant Eagle,40.392484,-80.065824,
Pittsburgh,15220,Bruegger's Bagels,40.392551,-80.061579,
Pittsburgh,15220,Starbucks,40.392484,-80.065824,
Pittsburgh,15220,Better-Maid Donut Co,40.441776,-80.047466,
Pittsburgh,15220,Boston Market,40.418106,-80.045902,American
Pittsburgh,15220,Einstein Bros Bagels,40.418425,-80.045329,
Pittsburgh,15222,Starbucks,40.4401998,-80.0022117,
Pittsburgh,15222,Bossa Nova,40.4439388,-80.0006057,
Pittsburgh,15222,Olive Or Twist,40.4429278,-80.0025539,American
Pittsburgh,15222,Sunseri Jimmy & Nino Co,40.450964,-79.984628,Italian
Pittsburgh,15222,Labad's,40.4503182,-79.9854235,
Pittsburgh,15222,McDonald's,40.4422762,-79.9989518,
Pittsburgh,15222,Reyna Foods,40.4514856,-79.9834035,Mexican
Pittsburgh,15222,Nicholas Coffee Co,40.441253,-80.0030696,
Pittsburgh,15222,New Sambok Oriental Foods,40.4504367,-79.9852163,
Pittsburgh,15222,Au Bon Pain Co Inc,40.44756,-79.99086,
Pittsburgh,15222,La Prima Espresso Co,40.4514869,-79.9828538,
Pittsburgh,15212,Pegasus Lounge,40.471965,-80.037607,
Pittsburgh,15222,Lotus Food Co,40.449767,-79.986418,
Pittsburgh,15222,Cool Beans Coffee Co,40.444318,-79.994009,
Pittsburgh,15222,Andy's Sushi Bar,40.450111,-79.9858749,
Pittsburgh,15222,Fort Pitt Candy Co,40.4493537,-79.9861704,
Pittsburgh,15222,Sushi Kim Restaurant,40.4464777,-79.9916741,Korean
Pittsburgh,15222,Kim DO Oriental Grocery,40.4504243,-79.9845049,
Pittsburgh,15222,Caffe Amante,40.442228,-80.003107,
Pittsburgh,15222,Images Bar,40.443782,-79.99574,
Pittsburgh,15222,Mon Aimee Chocolat,40.4518345,-79.983095,
Pittsburgh,15222,Einstein Bagels,40.44756,-79.99086,
Pittsburgh,15222,Stan's Market,40.4507069,-79.9848298,
Pittsburgh,15222,Klavon's Ice Cream Parlor,40.4570059,-79.9756691,
Pittsburgh,15222,Subway,40.4422522,-79.9997165,
Pittsburgh,15222,Mahoney's Restaurant,40.4436238,-79.9963285,
Pittsburgh,15222,Fortunes Coffee Roastery,40.4512032,-79.9838104,
Pittsburgh,15222,Stamoolis Brothers Company,40.4512257,-79.9833014,
Pittsburgh,15222,Pennsylvania Macaroni Co,40.4513551,-79.9834614,
Pittsburgh,15222,Prestogeorge Fine Foods,40.450211,-79.98572,
Pittsburgh,15222,There Ultra Lounge,40.4434471,-79.9969003,
Pittsburgh,15222,Mullaneys Harp and Fiddle,40.4534271,-79.9809286,Irish
Pittsburgh,15224,Starbucks,40.461189,-79.947532,
Pittsburgh,15224,Paddy Cake Bakery,40.4612539,-79.947655,
Pittsburgh,15224,Groceria Italiana,40.4618603,-79.948546,
Pittsburgh,15224,Armand's Bar,40.461494,-79.948153,
Pittsburgh,15224,Nico's Recovery Room,40.4636982,-79.9489828,American
Pittsburgh,15224,Donatelli's Italian Food Center  Inc,40.462158,-79.949333,
Pittsburgh,15224,Pleasure Bar and Restaurant,40.461739,-79.9486639,Italian
Pittsburgh,15224,Twisters Soft Serve Ice Cream,40.4647058,-79.9541124,
Pittsburgh,15224,Silky's Pub,40.458267,-79.942274,American
Pittsburgh,15224,Boston Market,40.455568,-79.941471,American
Pittsburgh,15224,Lot 17 Bar and Grill,40.46257,-79.950128,American
Pittsburgh,15224,The Bloomfield Sandwich Shop,40.462632,-79.950246,
Pittsburgh,15224,Sammy's Famous Corned Beef,40.4655702,-79.9557489,
Pittsburgh,15226,Kribel's Bakery,40.395242,-80.022591,
Pittsburgh,15226,Pitaland,40.394874,-80.022086,
Pittsburgh,15226,Party Cake Shop,40.394482,-80.021538,
Pittsburgh,15226,Wendy's,40.400323,-80.024316,
Pittsburgh,15226,McDonald's,40.3989335,-80.0266142,
Pittsburgh,15205,McDonald's,40.4256974,-80.0502872,
Pittsburgh,15228,Little Tokyo,40.3819791,-80.0441649,Japanese
Pittsburgh,15228,Potomac Bakery,40.380869,-80.044391,
Pittsburgh,15228,The Saloon of Mt. Lebanon,40.3820875,-80.0443309,American
Pittsburgh,15228,Jernigan's Tobacco Village,40.357621,-80.0503804,
Pittsburgh,15228,The Korner Pub,40.3869206,-80.0440197,
Pittsburgh,15228,Uptown Coffee,40.3794554,-80.0448122,
Pittsburgh,15232,The Coffee Tree Roasters,40.4513702,-79.9328199,
Pittsburgh,15232,Umi,40.4569371,-79.9297,Japanese
Pittsburgh,15232,Bagel Factory,40.456766,-79.930303,
Pittsburgh,15232,Harris Grill,40.455955,-79.931338,American
Pittsburgh,15232,William Penn Tavern,40.45144522,-79.93373255,American
Pittsburgh,15232,Cappy's Cafe,40.451079,-79.9346715,American
Pittsburgh,15232,Prantl's Bakery,40.451668,-79.932915,
Pittsburgh,15232,Jitters Cafe,40.451832,-79.932424,
Pittsburgh,15232,Bruegger's Bagels,40.4507601,-79.9357368,
Pittsburgh,15232,The Inn on Negley,40.453359,-79.931454,
Pittsburgh,15232,Tokyo Japanese Food Store,40.4573354,-79.9291471,
Pittsburgh,15232,Shadyside Saloon,40.455763,-79.931512,
Pittsburgh,15232,Giant Eagle Market District,40.4563396,-79.9346032,
Pittsburgh,15232,Doc's Place,40.4509479,-79.9338609,
Pittsburgh,15232,Rite Aid,40.4511736,-79.9335764,
Pittsburgh,15232,Le Mardi Gras,40.4512699,-79.9346368,
Pittsburgh,15232,P&G's Pamela's Diner,40.451723,-79.932833,
Pittsburgh,15232,Crepes Parisiennes,40.4516614,-79.9333455,French
Pittsburgh,15232,Historic Sunnyledge Hotel of Shadyside,40.4477839,-79.9373637,
Pittsburgh,15232,Wendy's,40.456954,-79.937464,
Pittsburgh,15232,China Palace,40.450866,-79.933919,
Pittsburgh,15234,McGinnis John Special Food Store,40.364216,-80.02247,
Pittsburgh,15234,Graham's Bakery,40.368716,-80.034629,
Pittsburgh,15234,Castle Tavern Inc,40.371878,-80.00893,
Pittsburgh,15234,Signature Desserts,40.369099,-80.013523,
Pittsburgh,15238,Giant Eagle,40.48821075,-79.89384734,
Pittsburgh,15238,Tai Pei,40.48765293,-79.88061636,Chinese
Pittsburgh,15238,Coffee Tree Roasters the,40.4887162,-79.883087,
Pittsburgh,15238,Starlite Lounge,40.493969,-79.860283,American
Pittsburgh,15238,Bob's Garage,40.489501,-79.872353,
Pittsburgh,15220,Applebee's,40.3906976,-80.070806,American
Pittsburgh,15205,South Hills Brewing Supply,40.429825,-80.054154,
Belmont,28012,Wendy's,35.253329,-81.027326,
Belmont,28012,Bi-Lo,35.254065,-81.0419019,
Belmont,28012,Taco Bell,35.252694,-81.041502,Mexican
Belmont,28012,McDonald's,35.251806,-81.0433539,
Mount Holly,28120,McDonald's,35.2889229,-81.020392,
Mount Holly,28120,Lowesville Cafe,35.306711,-81.032466,
Pineville,28134,Firehouse Subs,35.0869866,-80.8717654,
Pineville,28134,Starbucks,35.0822,-80.8772242,
Pineville,28134,Bi-Lo,35.086948,-80.871878,
Pineville,28134,Taco Bell,35.084106,-80.878954,Mexican
Charlotte,28226,Bruegger's Bagels,35.089035,-80.8670549,
Pineville,28134,Applebee's,35.0857058,-80.8789517,American
Pineville,28134,Corner Cafe & Catering,35.1118189,-80.915583,
Pineville,28134,Arby's,35.0912719,-80.8857699,
Pineville,28134,Hatoya,35.092812,-80.88523,
Charlotte,28202,Jackson's Java,35.2245882,-80.8464606,
Charlotte,28202,Alexander Michael's,35.23361,-80.840783,American
Charlotte,28202,Starbucks,35.23366346,-80.85026455,
Charlotte,28202,Fox and Hound Smokehouse & Tavern,35.228985,-80.839671,American
Charlotte,28202,R?? R?? Irish Pub,35.228075,-80.8415605,Irish
Charlotte,28202,Champions,35.2279308,-80.8437189,
Charlotte,28202,Rock Bottom Restaurant & Brewery,35.230194,-80.839336,American
Charlotte,28202,Charlotte Coffee Station,35.223866,-80.844683,
Charlotte,28202,Southside Meat Market,35.227056,-80.8316959,
Charlotte,28202,Salsarita's Fresh Cantina,35.2273169,-80.843148,Mexican
Charlotte,28202,Monticello Restaurant,35.228718,-80.8411263,American
Charlotte,28202,Bar Charlotte,35.2278411,-80.8394745,
Charlotte,28202,Mert's Heart & Soul,35.2273178,-80.8401304,
Charlotte,28202,Halfpenny's,35.224741,-80.844753,
Charlotte,28202,Jersey Mike's Subs,35.226995,-80.844191,
Charlotte,28202,Phil's Deli New York Deli & Tavern,35.2278131,-80.8414916,
Charlotte,28202,Hartigan's Irish Pub,35.2283983,-80.8548383,American
Charlotte,28202,Phil's Tavern,35.2278131,-80.8414916,
Charlotte,28202,Goat Wagon Grocery,35.2336905,-80.8491657,
Charlotte,28202,Graduate Food & Pub,35.227459,-80.844211,American
Charlotte,28202,Stool Pigeons Coop & Grill,35.2288659,-80.8413659,American
Charlotte,28202,Savannah Red,35.2279308,-80.8437189,American
Charlotte,28202,Cutters Cigar Bar,35.2279308,-80.8437189,
Charlotte,28202,Connolly's On Fifth,35.227736,-80.841435,
Charlotte,28211,Arthur's At Belk,35.153939,-80.8317551,
Charlotte,28211,Bruegger's Bagels,35.176106,-80.799651,
Charlotte,28202,Buckhead Saloon,35.2268199,-80.8404187,
Charlotte,28202,Caribou Coffee,35.225394,-80.84395,
Charlotte,28202,Cosmos Cafe,35.2278411,-80.8394745,American
Charlotte,28202,Caribou Coffee,35.227396,-80.842257,
Charlotte,28202,Smoothie King,35.223866,-80.844683,
Charlotte,28202,Dixie's Tavern,35.2277289,-80.837321,
Charlotte,28202,Tic Toc Diner & Catering,35.230441,-80.838086,
Charlotte,28202,Rite Aid,35.2255255,-80.8461444,
Charlotte,28202,Reid's Fine Foods,35.2281675,-80.8381937,
Charlotte,28202,Circle K,35.2357159,-80.840513,
Charlotte,28277,Charlotte Cafe,35.095238,-80.779082,American
Charlotte,28277,CoffeeWorks,35.095238,-80.779082,
Charlotte,28202,Blue Restaurant & Bar,35.227392,-80.840592,
Charlotte,28202,Fujo,35.223866,-80.844683,
Charlotte,28204,Great Harvest Bread Co,35.206776,-80.835051,
Charlotte,28204,Cuisine Malaya,35.2154777,-80.8285213,
Charlotte,28235,La-Tea-Da's Catering,35.22999,-80.840621,
Charlotte,28204,Jersey Mike's Subs,35.2124,-80.817112,
Charlotte,28204,Snoop's Grill,35.216323,-80.821777,American
Charlotte,28204,The Morehead Inn,35.2098129,-80.841528,
Charlotte,28206,Chicken Box Cafe,35.2544169,-80.80088,
Charlotte,28206,The Village,35.26132,-80.81875,American
Charlotte,28208,Burger King,35.219378,-80.945041,
Charlotte,28208,Scorpio,35.233595,-80.879081,
Charlotte,28208,McDonald's,35.238401,-80.884618,
Charlotte,28208,McDonald's,35.228855,-80.923791,
Charlotte,28208,Bi-Lo,35.240149,-80.898114,
Charlotte,28208,Coyote Joe's,35.2277077,-80.9159489,
Charlotte,28208,Bojangles Restaurant,35.2289648,-80.9259185,
Charlotte,28208,Waffle House,35.2348251,-80.920439,
Charlotte,28208,Wendy's,35.24609,-80.893248,
Charlotte,28210,McDonald's,35.14974032,-80.83334148,
Charlotte,28210,Harper's Restaurant,35.148108,-80.8318029,American
Charlotte,28210,Dean & Deluca,35.146036,-80.825232,
Charlotte,28210,Harris Teeter,35.116603,-80.858247,
Charlotte,28210,Original Pancake House,35.14839312,-80.83341645,American
Charlotte,28210,Upstream,35.145671,-80.825569,
Charlotte,28210,Showmars At Park Cedar,35.093967,-80.865522,Greek
Charlotte,28212,Kabob House,35.172028,-80.746801,Persian
Charlotte,28212,Island Grocery,35.204011,-80.746165,
Charlotte,28212,McDonald's,35.183472,-80.756938,
Charlotte,28212,Sunrise Restaurant,35.202473,-80.73581,
Charlotte,28212,Crazy Horse Showclub,35.1875969,-80.757154,
Charlotte,28212,Bojangles' Famous Chicken 'n Biscuits,35.184415,-80.7563629,
Charlotte,28212,Healthy Home Market,35.184574,-80.758669,
Charlotte,28262,Flying Saucer Draught Emporium,35.31669443,-80.7405518,American
Charlotte,28212,Liberty East Restaurant,35.188469,-80.761267,
Charlotte,28214,Hardee's,35.243569,-80.938286,
Charlotte,28214,Showmars Restaurant,35.244848,-80.9379979,
Charlotte,28216,Bojangles',35.305592,-80.854973,
Charlotte,28216,Harris Teeter,35.3226749,-80.9456189,
Charlotte,28216,Sports Page Food & Spirits,35.30359071,-80.93694065,
Charlotte,28216,Coffee House At Mountain Island,35.3250995,-80.9463466,
Charlotte,28226,Caribou Coffee,35.1469664,-80.8090772,
Charlotte,28104,Hickory Tavern,35.053472,-80.7708,American
Charlotte,28226,McDonald's,35.089457,-80.868686,
Charlotte,28226,Bailey's Sports Grille,35.088597,-80.8632,American
Charlotte,28226,The Fresh Market,35.086472,-80.84855,
Charlotte,28226,Waffle House,35.0879649,-80.858344,
Charlotte,28226,Kabuto Japanese Steak House & Sushi Bar,35.088069,-80.8512049,Japanese
Charlotte,28226,Harris Teeter,35.117117,-80.824515,
Charlotte,28226,Good Ol' Days,35.096098,-80.785635,American
Charlotte,28226,Jack In the Box,35.0872448,-80.8502616,
Charlotte,28244,Starbucks,35.225047,-80.84266,
Charlotte,28262,Smoothie King,35.316675,-80.740521,
Charlotte,28262,Maggiemoo's,35.303872,-80.749548,
Charlotte,28262,Jack In the Box,35.32318,-80.732899,
Charlotte,28262,Chili's Grill & Bar,35.308705,-80.755472,American
Charlotte,28262,Bojangles Famous Chicken N Biscuits',35.3045349,-80.7510469,
Charlotte,28262,Stool Pigeons Coop & Grill,35.317215,-80.739129,American
Charlotte,28262,Walgreens,35.3045784,-80.7494171,
Charlotte,28262,Starbucks,35.312144,-80.745093,
Charlotte,28262,Ninety's Ice Cream & Sandwiches,35.310622,-80.749274,
Charlotte,28262,Qdoba Mexican Grill,35.3042746,-80.7487266,Mexican
Charlotte,28262,Bruegger's Bagels,35.312144,-80.745093,
Charlotte,28262,Applebee's,35.3110039,-80.75229,American
Charlotte,28262,Wine Vault,35.310622,-80.749274,
Charlotte,28262,Taco Bell,35.31006,-80.75372,Mexican
Charlotte,28262,Jersey Mike's Subs,35.312144,-80.745093,
Charlotte,28262,Nakato Japanese Steakhouse,35.3058802,-80.754177,Japanese
Charlotte,28262,Chick-fil-A,35.310345,-80.752252,
Charlotte,28262,Picasso's Sports Cafe,35.303872,-80.749548,
Charlotte,28262,Chicken King,35.295969,-80.79768,Greek
Charlotte,28262,Wing Zone,35.3171014,-80.74022,
Charlotte,28262,Harris Teeter,35.341491,-80.7651589,
Charlotte,28270,Quiznos,35.139018,-80.737035,
Charlotte,28270,McDonald's,35.138618,-80.738107,
Charlotte,28278,Dixie Grill & Grocery,35.202726,-80.974971,
Charlotte,28278,Harris Teeter,35.103305,-80.990847,
Charlotte,28280,Einstein's Bagels,35.226366,-80.842911,
Charlotte,28280,Chick-fil-A Bank of America Plaza,35.226366,-80.842911,
Fort Mill,29708,Gate Petroleum 326,35.0624433,-80.9916166,
Fort Mill,29708,Jumpin' Java,35.066409,-80.959521,
Fort Mill,29708,Circle K Stores,35.095597,-80.936151,
Fort Mill,29708,McDonald's,35.0603265,-80.9921999,
Fort Mill,29708,McHale's,35.0603864,-80.996515,American
Fort Mill,29708,Maggie Moo's Ice Cream & Treatery,35.0591764,-80.9894372,
Fort Mill,29708,Wendy's,35.007222,-80.945278,
Fort Mill,29708,Frugal MacDoogal's Beverage Warehouse,35.0960557,-80.9341211,
Lake Wylie,29710,T-Bones On the Lake,35.1130877,-81.0493103,
Charlotte,28269,QuikTrip,35.3077867,-80.8450998,
De Forest,53532,Culver's,43.251045,-89.374983,
De Forest,53532,Pick N Save,43.2411855,-89.3437256,
Mc Farland,53558,Culver's,43.013923,-89.3021179,
Mc Farland,53558,Beach House Restaurant & Lounge,43.017701,-89.303789,American
Mc Farland,53558,Parsonage Bed & Breakfast the,43.015931,-89.285206,
Middleton,53562,Barriques Wine & Spirits,43.096359,-89.513737,
Middleton,53562,Prairie Cafe & Bakery,43.107227,-89.496995,
Middleton,53562,Paul's Neighborhood Bar,43.1014598,-89.5111616,American
Middleton,53562,Starbucks,43.0904559,-89.5256818,
Middleton,53562,Cold Stone Creamery,43.0954855,-89.5235823,
Middleton,53562,McDonald's,43.090653,-89.5250779,
Middleton,53562,Hody Bar & Grill,43.095696,-89.5128222,
Middleton,53562,Clasen's European Bakery,43.1060972,-89.51178,
Middleton,53562,Three Sisters Old Town Inn,43.0999335,-89.511243,
Middleton,53562,Walgreens,43.097044,-89.4950894,
Middleton,53562,Hardee's,43.0976883,-89.5160417,
Middleton,53562,The Village Green,43.095724,-89.5120419,American
Middleton,53562,Walgreens,43.075383,-89.5271245,
Middleton,53562,Culver's,43.1062742,-89.5113122,
Middleton,53562,C's Restaurant Bakery and Coffee Shop,43.102896,-89.48674,American
Middleton,53562,Capital Brewery & Beer Garden,43.094876,-89.51625,
Middleton,53562,Scott's Pastry Shoppe,43.0961424,-89.4957363,
Sun Prairie,53590,Taco Bell,43.174555,-89.25008,Mexican
Sun Prairie,53590,Kfc,43.186768,-89.231699,
Sun Prairie,53590,Walmart Supercenter,43.1744162,-89.2459902,
Sun Prairie,53590,Dairy Queen,43.1824889,-89.225254,
Windsor,53598,A&W Restaurant,43.19553,-89.344187,
Windsor,53598,Mousehouse Cheesehaus,43.196191,-89.343511,
Madison,53704,Java Detour,43.1035763,-89.3439745,
Madison,53704,The Coffee Gallerie,43.1294885,-89.3607378,
Madison,53704,Sports Pub,43.1233605,-89.3247222,
Madison,53704,Burger King,43.1013138,-89.3474473,
Madison,53704,Wilson's Bar,43.0931063,-89.3504214,
Madison,53704,Chocolate Shoppe Ice Cream,43.0947001,-89.363672,
Madison,53704,Denny's,43.1234137,-89.3141696,
Madison,53704,Cracker Barrel Old Country Store,43.1294409,-89.2941061,
Madison,53704,Culver's,43.1340507,-89.3718005,
Madison,53704,Chili's,43.1266792,-89.3087635,American
Madison,53704,Einstein Brothers Bagels,43.0947348,-89.3635335,
Madison,53704,Copps Food Center,43.112943,-89.349625,
Madison,53704,Slice's Bar & Grill,43.104434,-89.357979,American
Madison,53704,Busse's Markway Tavern Inc,43.1207377,-89.3633619,
Madison,53704,Applebee's,43.130005,-89.303977,American
Madison,53704,McDonald's,43.1042988,-89.3420412,
Madison,53704,Wendy's,43.1216992,-89.3177873,
Madison,53704,Taco Bell,43.10379,-89.342924,Mexican
Madison,53704,Dexter's Pub,43.103498,-89.35019,American
Madison,53704,HomeTown Buffet,43.122528,-89.314783,American
Madison,53704,Eagle Crest Bar,43.107341,-89.2873539,
Madison,53704,International House of Pancakes,43.1296507,-89.3062815,
Madison,53704,Jenifer Street Market,43.0903644,-89.351502,
Madison,53704,Cool Beans Coffee Cafe,43.122992,-89.309042,
Madison,53704,Jim's Meat Market,43.1338307,-89.3704364,
Madison,53704,Speckled Hen Inn Bed & Breakfast,43.1522035,-89.3072797,
Madison,53704,Villa Tap,43.1234303,-89.3553421,
Madison,53704,Ideal Bar,43.0913533,-89.3564747,
Madison,53704,Players Sports Bar,43.0925151,-89.3546142,
Madison,53704,People's Bakery,43.102942,-89.345949,
Madison,53704,Cafe Zoma,43.0937266,-89.3475357,
Madison,53704,Tip Top Tavern,43.09287091,-89.36012192,American
Madison,53704,Harmony Bar & Grill,43.0931332,-89.3493112,American
Madison,53704,TGI Friday's,43.1314601,-89.2987432,American
Madison,53704,Woody Anne's,43.0962483,-89.3519395,
Madison,53714,Cottage Cafe,43.084991,-89.3070715,
Madison,53714,Michael's Frozen Custard,43.0851381,-89.3252648,
Madison,53714,Harley's Liquor & Bait,43.0846478,-89.3251036,
Monona,53714,East Side Club,43.0862623,-89.3272084,
Monona,53716,La Rosita Latina Grocery Store,43.0546552,-89.3255237,
Madison,53716,Dairy Queen,43.0842813,-89.3022244,
Monona,53716,Starbucks,43.0472393,-89.3238096,
Madison,53705,Metcalfe's Market,43.07413539,-89.45279875,
Monona,53716,Silver Eagle Bar & Grill,43.056329,-89.326148,American
Madison,53590,Carl's Cakes,43.182386,-89.211447,
Madison,53716,Sentry Food Stores,43.0843652,-89.3027572,
Monona,53716,Tully's II Food & Spirits,43.048755,-89.325947,American
Monona,53716,Ken's Meat's & Deli,43.057298,-89.32607,
Madison,53716,KFC,43.0841604,-89.3160033,
Monona,53716,Taco Bell,43.0477,-89.3246,Mexican
Monona,53716,Copps Foods,43.046379,-89.322571,
Madison,53716,Packer Inn,43.0837606,-89.3214992,
Madison,53716,Wendy's,43.0627242,-89.3086017,
Monona,53716,Tasting Room,43.0536435,-89.3252414,
Madison,53716,Culver's,43.083712,-89.3075439,
Madison,53718,JBC Coffee Roasters,43.051556,-89.278786,
Madison,53718,Oakhouse Farm Bakery,43.0651017,-89.2931516,
Madison,53718,Pooley's,43.1416538,-89.2854101,American
Madison,53726,Sushi Box,43.0720091,-89.4284519,Japanese
Madison,53726,Mike's Wine Shop,43.0680663,-89.4235293,
Madison,53726,Regent Market Co-Op,43.0680649,-89.4233908,
Urbana,61802,Boomerang's Bar & Grill,40.104934,-88.192572,American
Urbana,61802,County Market Discount Foods,40.095354,-88.1923149,
Urbana,61802,Schnucks,40.1139865,-88.2029151,
Urbana,61802,Corkscrew Wine Emporium,40.1139499,-88.2051605,
Urbana,61802,Cracker Barrel Old Country Store,40.1334216,-88.1994685,
Champaign,61820,Subway,40.110243,-88.2289779,
Champaign,61820,Espresso Royale,40.108089,-88.230136,
Champaign,61820,It's Brothers Bar & Grill,40.1102951,-88.2297712,
Champaign,61820,C O Daniel's,40.108173,-88.229887,
Champaign,61820,Walgreens,40.109931,-88.23276,
Champaign,61820,Luna,40.116715,-88.240606,
Champaign,61820,Geovanti's,40.1100246,-88.2332899,Italian
Champaign,61820,Illini Inn,40.107661,-88.233757,
Champaign,61820,Jimmy John's,40.1102061,-88.2411676,
Champaign,61820,Espresso Royale,40.0995146,-88.2448139,
Champaign,61820,Seaboat,40.09775,-88.248762,
Champaign,61820,Walnut Street Tea Co,40.11558757,-88.24324948,
Champaign,61820,Fannie May Fine Chocolates,40.112354,-88.24319,
Champaign,61820,Old Time Meat & Deli Shoppe,40.091899,-88.2452807,
Urbana,61801,Common Ground Food Co-Op,40.1146107,-88.2074702,
Champaign,61820,Merry-Ann's Diner,40.0984473,-88.2442422,
Champaign,61820,Sam's Cafe,40.1169853,-88.2427068,
Champaign,61820,Murphy's Pub,40.11037991,-88.23018797,American
Champaign,61820,Brass Rail,40.11615,-88.242862,
Champaign,61820,Le Peep Restaurant,40.086902,-88.247837,
Champaign,61820,Barfly,40.1171629,-88.2434059,
